Year,hell,fuck,shit,ass,bitch,cunt,dick,sex,slut,pussy,crap,cock,penis,bussy,motherfucker,hoe,whore,munch
1949,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1972,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1974,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1978,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1984,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1985,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
1988,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
